,arts_entertainment,building,education,event,food,nightlife,parks_outdoors,shops,travel,Favourite
Marylebone (also St Marylebone),0.09278350515463918,0.030927835051546393,0.0,0.0,0.6185567010309279,0.05154639175257732,0.05154639175257732,0.13402061855670105,0.020618556701030927,0.0
Mayfair,0.1,0.02,0.0,0.0,0.35,0.11,0.04,0.28,0.1,1.0
Maze Hill,0.037037037037037035,0.0,0.0,0.0,0.3333333333333333,0.14814814814814814,0.2962962962962963,0.1111111111111111,0.07407407407407407,0.0
Merton Park,0.1111111111111111,0.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0
Middle Park,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mile End,0.027027027027027032,0.0,0.0,0.0,0.5135135135135135,0.16216216216216214,0.08108108108108109,0.054054054054054064,0.16216216216216214,0.0
Mill Hill,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,1.0
Millbank,0.12195121951219512,0.0,0.0,0.0,0.4878048780487805,0.14634146341463414,0.14634146341463414,0.04878048780487805,0.04878048780487805,0.0
Millwall,0.0,0.0,0.0,0.0,0.3,0.2,0.3,0.0,0.2,0.0
Mitcham,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0
Monken Hadley,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,1.0
Morden,0.0,0.0,0.0,0.0,0.5714285714285714,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.0
Morden Park,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.4,0.0
Mortlake,0.0,0.0,0.0,0.0,0.55,0.15,0.1,0.2,0.0,0.0
Motspur Park,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,0.3333333333333333,0.0,0.0
Mottingham,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0
Nag's Head,0.0,0.03773584905660377,0.0,0.0,0.5283018867924528,0.16981132075471694,0.03773584905660377,0.18867924528301888,0.03773584905660377,0.0
Neasden,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0
New Addington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0
New Barnet,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.25,1.0
New Cross,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.5555555555555556,0.05555555555555555,0.0,0.1111111111111111,0.1111111111111111,0.0
New Eltham,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.0
New Malden,0.0,0.027027027027027032,0.0,0.0,0.5945945945945946,0.027027027027027032,0.054054054054054064,0.2702702702702703,0.027027027027027032,0.0
New Southgate,0.0,0.09090909090909093,0.0,0.0,0.2727272727272727,0.0,0.0,0.6363636363636364,0.0,1.0
Newbury Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0
Newington,0.04166666666666666,0.04166666666666666,0.0,0.0,0.2916666666666667,0.4166666666666667,0.16666666666666666,0.0,0.04166666666666666,1.0
Nine Elms,0.05882352941176471,0.1176470588235294,0.0,0.0,0.29411764705882354,0.17647058823529413,0.0,0.2352941176470588,0.1176470588235294,0.0
Noak Hill,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Norbiton,0.0,0.0,0.0,0.0,0.7333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0
Norbury,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0
North Cray,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
North Finchley,0.03225806451612903,0.0,0.0,0.0,0.4838709677419355,0.06451612903225806,0.0,0.3225806451612903,0.0967741935483871,1.0
North Harrow,0.0,0.25,0.0,0.0,0.375,0.0,0.125,0.125,0.125,0.0
North Kensington,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0
North Sheen,0.0,0.2307692307692308,0.0,0.0,0.2307692307692308,0.0,0.0,0.5384615384615384,0.0,0.0
North Woolwich,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0
Northolt,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.0,0.2,0.0
Northumberland Heath,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
Northwood,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Norwood Green,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.42857142857142855,0.0
Notting Hill,0.016666666666666666,0.0,0.0,0.0,0.5166666666666667,0.11666666666666667,0.016666666666666666,0.26666666666666666,0.06666666666666668,1.0
Nunhead,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,1.0
Oakleigh Park,0.0,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.0,1.0
Old Coulsdon,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Old Ford,0.1176470588235294,0.1176470588235294,0.0,0.0,0.35294117647058826,0.1176470588235294,0.17647058823529413,0.05882352941176471,0.05882352941176471,0.0
Old Malden,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0
Old Oak Common,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,1.0
Orpington,0.05882352941176471,0.05882352941176471,0.0,0.0,0.5882352941176471,0.0,0.0,0.2352941176470588,0.05882352941176471,0.0
Osidge,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,1.0
Osterley,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.5,0.0
Oval,0.125,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,0.0625,0.14583333333333334,0.08333333333333333,0.0
Paddington,0.02325581395348837,0.02325581395348837,0.0,0.0,0.4883720930232558,0.06976744186046513,0.11627906976744184,0.10465116279069768,0.1744186046511628,0.0
Palmers Green,0.0,0.037037037037037035,0.0,0.0,0.5925925925925926,0.07407407407407407,0.037037037037037035,0.2222222222222222,0.037037037037037035,0.0
