,Neighbourhood,arts_entertainment,building,education,event,food,nightlife,parks_outdoors,shops,travel
81,Catford,0.03125,0.0,0.0,0.0,0.375,0.09375,0.0,0.34375,0.15625
82,Chadwell Heath,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0
83,Chalk Farm,0.03333333333333333,0.05,0.0,0.0,0.43333333333333335,0.18333333333333332,0.08333333333333333,0.21666666666666667,0.0
84,Charing Cross,0.18,0.04,0.0,0.0,0.4,0.1,0.1,0.1,0.08
85,Charlton,0.07692307692307693,0.0,0.0,0.0,0.38461538461538464,0.0,0.07692307692307693,0.38461538461538464,0.07692307692307693
86,Chase Cross,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.2
87,Cheam,0.0,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.3333333333333333,0.08333333333333333
88,Chelsea,0.017857142857142856,0.03571428571428571,0.0,0.0,0.6607142857142857,0.05357142857142857,0.08928571428571429,0.125,0.017857142857142856
89,Chelsfield,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
90,Chessington,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.4
91,Childs Hill,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.16666666666666666
92,Chinatown,0.18,0.01,0.0,0.0,0.53,0.11,0.03,0.11,0.03
93,Chinbrook,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0
94,Chingford,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666
95,Chislehurst,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
96,Chiswick,0.017543859649122806,0.0,0.0,0.0,0.5263157894736842,0.10526315789473684,0.08771929824561403,0.22807017543859648,0.03508771929824561
97,Church End,0.0,0.0,0.0,0.0,0.7741935483870968,0.0967741935483871,0.0,0.12903225806451613,0.0
98,Clapham,0.014705882352941176,0.029411764705882353,0.0,0.0,0.6029411764705882,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.0
99,Clerkenwell,0.07,0.02,0.0,0.0,0.53,0.22,0.07,0.07,0.02
100,Cockfosters,0.0,0.0,0.0,0.0,0.625,0.125,0.0,0.25,0.0
101,Colindale,0.0,0.1,0.0,0.0,0.4,0.0,0.1,0.4,0.0
102,Collier Row,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
103,Colliers Wood,0.0,0.0,0.0,0.0,0.21428571428571427,0.07142857142857142,0.0,0.5714285714285714,0.14285714285714285
104,Colney Hatch,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.3333333333333333,0.0
105,Colyers,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0
106,Coney Hall,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.0
107,Coombe,0.0,0.04,0.0,0.0,0.6,0.16,0.0,0.16,0.04
108,Coulsdon,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.75,0.0
109,Covent Garden,0.15,0.03,0.0,0.0,0.5,0.02,0.01,0.26,0.03
110,Cowley,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.0
111,Cranford,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.2,0.2
112,Cranham,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.2,0.0
113,Crayford,0.0625,0.0,0.0,0.0,0.3125,0.0625,0.0,0.4375,0.125
114,Creekmouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115,Crews Hill,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0
116,Cricklewood,0.0,0.0,0.0,0.0,0.5925925925925926,0.07407407407407407,0.0,0.18518518518518517,0.14814814814814814
117,Crofton Park,0.1111111111111111,0.05555555555555555,0.0,0.0,0.3888888888888889,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111
118,Crook Log,0.14285714285714285,0.2857142857142857,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0
